ft,km,transmission,oem,model,modelYear,price,Insurance Validity,Color,Displacement,Turbo Charger,Super Charger,Location,RTO_grouped
Petrol,120000.0,Manual,Toyota,Toyota Innova,2014,1100000.0,Third Party,Other,1998.0,False,False,Bangalore,Karnataka
Petrol,36685.0,Manual,Honda,Honda Brio,2016,462000.0,Comprehensive,Red,1198.0,False,False,Bangalore,Karnataka
Petrol,32184.0,Automatic,Maruti,Maruti Baleno,2019,843000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,59698.0,Manual,Hyundai,Hyundai i20,2015,576000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Diesel,90000.0,Manual,Maruti,Maruti Vitara Brezza,2017,795000.0,Third Party,Yellow,1248.0,True,False,Bangalore,Unknown
Petrol,9554.0,Manual,Hyundai,Hyundai Venue,2019,1085000.0,Third Party,Blue,998.0,True,False,Bangalore,Karnataka
Petrol,14000.0,Automatic,Jeep,Jeep Compass,2022,2590000.0,Comprehensive,Green,1368.0,False,False,Bangalore,Karnataka
Diesel,74499.0,Manual,Renault,Renault Duster,2013,516000.0,Third Party,Brown,1461.0,True,False,Bangalore,Karnataka
Petrol,56211.0,Automatic,Ford,Ford Ecosport,2017,777000.0,Comprehensive,Gray,1497.0,False,False,Bangalore,Karnataka
Petrol,9001.0,Manual,Honda,Honda Jazz,2019,753000.0,Comprehensive,White,1199.0,False,False,Bangalore,Karnataka
Diesel,65457.0,Automatic,Mahindra,Mahindra XUV500,2017,1226000.0,Third Party,Orange,1997.0,True,False,Bangalore,Karnataka
Petrol,23682.0,Manual,Honda,Honda Jazz,2017,725000.0,Comprehensive,Red,1199.0,False,False,Bangalore,Karnataka
Diesel,50000.0,Manual,Hyundai,Hyundai Verna,2020,1150000.0,Third Party,Red,1582.0,True,False,Bangalore,Karnataka
Diesel,134557.0,Manual,Maruti,Maruti Swift,2015,629000.0,Comprehensive,White,1248.0,True,False,Bangalore,Karnataka
